d1,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,y1
2011年1月,1751,601,710,928,130,360,208,55,1071,102,1972,122,246,623,271,259,218,175,79,254,195,164,245,225,384,183,47,293,229,7,110,1220534
2011年2月,1957,707,702,926,150,683,234,64,1205,115,2196,151,210,709,278,282,201,182,92,226,189,181,250,256,330,235,54,294,220,8,116,1204301
2011年3月,2079,739,770,817,153,782,219,66,1110,111,2302,170,208,877,300,293,197,181,94,266,207,182,272,249,417,176,46,303,220,15,112,1254117
2011年4月,2201,760,636,492,170,1051,199,69,1171,175,2426,182,228,808,286,306,206,204,103,268,213,179,249,251,554,181,55,273,243,9,125,1270753
2011年5月,2137,694,508,389,134,999,209,74,1197,181,2560,167,223,880,278,305,203,207,99,261,216,178,261,245,531,129,62,273,219,21,120,1326627
2011年6月,2446,675,434,383,143,980,212,73,1137,163,2567,167,209,1252,278,294,205,202,91,250,206,184,283,236,521,190,63,275,222,24,128,1198754
2011年7月,2827,777,476,506,160,1008,232,75,1151,176,2730,186,216,1049,278,307,233,214,109,272,229,207,265,266,520,246,65,318,265,29,132,1460473
2011年8月,2804,853,377,820,174,1013,226,80,1225,201,2914,189,249,802,231,404,248,219,106,290,243,226,268,280,547,245,66,342,298,25,143,1571015
2011年9月,2740,775,611,769,151,951,216,74,1202,174,2996,190,235,844,328,435,241,210,98,285,221,194,265,264,563,246,59,319,285,22,135,1246256
2011年10月,2567,781,838,516,154,1045,209,78,1251,195,2879,187,249,715,326,376,236,218,96,292,230,198,310,268,437,238,72,313,266,40,138,1466545
2011年11月,3009,849,997,416,161,1196,203,72,1437,206,3202,200,276,691,384,393,236,224,102,320,256,201,367,289,506,257,68,345,306,56,140,1460992
2011年12月,3175,775,970,404,152,1226,196,76,1169,213,3204,191,265,698,358,374,244,200,85,325,241,202,321,275,549,251,64,336,331,18,157,1482380
2012年1月,2762,689,1141,467,139,1098,195,84,938,193,2696,176,287,693,397,389,250,195,99,286,228,215,303,253,548,221,65,312,299,29,131,1494877
2012年2月,3428,825,1244,494,157,1157,229,84,1133,206,3264,199,292,935,451,467,259,230,108,315,235,230,333,283,473,213,121,344,295,35,149,1285266
2012年3月,3321,847,1337,431,153,1309,230,87,1441,207,3503,209,299,1042,431,461,266,256,97,353,251,237,362,272,503,170,173,366,280,29,163,1447564
