d1,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,y3
2011年1月,1241.459,-99.6081614,406.12,-37.81081792,60.97,165.6,117.728,40.755,495.873,79.356,629.068,89.182,91.512,191.261,154.199,198.653,157.832,112.7,-16.43465863,180.594,155.415,71.668,177.38,136.8,90.33916716,104.676,30.08,216.527,168.773,5.313,54.45,1220453
2011年2月,1387.513,-117.176323,401.544,-37.72932909,70.35,314.18,132.444,47.424,557.915,89.47,700.524,110.381,78.12,217.663,158.182,216.294,145.524,117.208,-19.13909613,160.686,150.633,79.097,181,155.648,77.63522178,134.42,34.56,217.266,162.14,6.072,57.42,1204252
2011年3月,1474.011,-122.4799189,440.44,-33.28818776,71.757,359.72,123.954,48.906,513.93,86.358,734.338,124.27,77.376,269.239,170.7,224.731,142.628,116.564,-19.55516343,189.126,164.979,79.534,196.928,151.392,98.10268934,100.672,29.44,223.917,162.14,11.385,55.44,1254043
2011年4月,1560.509,-125.9604038,363.792,-20.04625261,79.73,483.46,112.634,51.129,542.173,136.15,773.894,133.042,84.816,248.056,162.734,234.702,149.144,131.376,-21.42746632,190.548,169.761,78.223,180.276,152.608,130.3330693,103.532,35.2,201.747,179.091,6.831,61.875,1270672
2011年5月,1515.133,-115.0217371,290.576,-15.84957777,62.846,459.54,118.294,54.834,554.211,140.818,816.64,122.077,82.956,270.16,158.182,233.935,146.972,133.308,-20.5953317,185.571,172.152,77.786,188.964,148.96,124.9221296,73.788,39.68,201.747,161.403,15.939,59.4,1326596
2011年6月,1734.214,-111.872727,248.248,-15.60511128,67.067,450.8,119.992,54.093,526.431,126.814,818.873,122.077,77.748,384.364,158.182,225.498,148.42,130.088,-18.93106247,177.75,164.182,80.408,204.892,143.488,122.5695471,108.68,40.32,203.225,163.614,18.216,63.36,1198729
2011年7月,2004.343,-128.7779391,272.272,-20.61667443,75.04,463.68,131.312,55.575,532.913,136.928,870.87,135.966,80.352,322.043,158.182,235.469,168.692,137.816,-22.67566824,193.392,182.513,90.459,191.86,161.728,122.3342889,140.712,41.6,235.002,195.305,22.011,65.34,1460426
2011年8月,1988.036,-141.3739795,215.644,-33.41042101,81.606,465.98,127.916,59.28,567.175,156.378,929.566,138.159,92.628,246.214,131.439,309.868,179.552,141.036,-22.05156728,206.19,193.671,98.762,194.032,170.24,128.6862616,140.14,42.24,252.738,219.626,18.975,70.785,1570934
2011年9月,1942.66,-128.4464644,349.492,-31.3324558,70.819,437.46,122.256,54.834,556.526,135.372,955.724,138.89,87.42,259.108,186.632,333.645,174.484,135.24,-20.38729805,202.635,176.137,84.778,191.86,160.512,132.4503935,140.712,37.76,235.741,210.045,16.698,66.825,1246208
2011年10月,1820.003,-129.4408886,479.336,-21.02411859,72.226,480.7,118.294,57.798,579.213,151.71,918.401,136.697,92.628,219.505,185.494,288.392,170.864,140.392,-19.97123074,207.612,183.31,86.526,224.44,162.944,102.8078543,136.136,46.08,231.307,196.042,30.36,68.31,1466448
