d1,Zx101,Zx102,Zx103,Zx104,Zx105,Zx106,Zx107,Zx108,Zx109,Zx110,Zx111,Zx112,Zx113,Zx114,Zx115,Zx116,Zx117,Zx118,Zx119,Zx120,Zx121,Zx122,Zx123,Zx124,Zx125,Zx126,Zx127,Zx128,Zx129,Zx130,Zx131,Zy3
2011年1月,-1.220397446,0.162655653,-0.741321724,-0.130855336,-0.747606167,-1.26850106,-0.420474042,-1.052654226,-0.388261151,-1.85235187,-0.438452421,-1.974629832,-0.294818928,-0.32280436,-0.67586958,-1.230031764,-0.78095346,-0.8727488,0.202436508,-1.245974886,-1.471614274,-0.413568497,-1.129922908,-0.523388896,-0.182023541,-0.673042656,-0.956032,-1.045656179,-1.283049933,-0.919063992,-0.777503925,1220453
2011年2月,-1.108428621,-0.018262435,-0.750643036,-0.130220783,-0.487795175,-0.88174226,0.04080577,-1.001096187,-0.333546126,-1.679006468,-0.395456006,-1.382546879,-0.400724352,-0.270357094,-0.651118649,-1.17198367,-0.898789528,-0.801420648,0.098074137,-1.646747811,-1.57304687,-0.321181453,-1.103497632,-0.410125184,-0.236509586,-0.368489264,-0.92457408,-1.034835741,-1.442214664,-0.912069048,-0.69832422,1204252
2011年3月,-1.042117269,-0.072879198,-0.671413028,-0.095639082,-0.44882362,-0.7631998,-0.225317242,-0.989638845,-0.372336729,-1.732343036,-0.375109548,-0.994630764,-0.406607904,-0.167902291,-0.573331228,-1.144221338,-0.926515832,-0.81161066,0.082018308,-1.074215061,-1.268749879,-0.315746921,-0.987229024,-0.435700704,-0.148726735,-0.714040184,-0.96052608,-0.937448104,-1.442214664,-0.863108235,-0.751110525,1254043
2011年4月,-0.975805208,-0.108721562,-0.827542144,0.007471548,-0.227984183,-0.44110044,-0.580147736,-0.972452091,-0.347429181,-0.878950168,-0.351307682,-0.749630997,-0.34777164,-0.20998186,-0.622832521,-1.111412146,-0.864132372,-0.577247468,0.00976718,-1.045588068,-1.167317283,-0.332050517,-1.108782832,-0.428393152,-0.010493694,-0.684756072,-0.92008,-1.262073807,-1.035459205,-0.905074863,-0.57955392,1270672
2011年5月,-1.010591584,0.003925655,-0.976680276,0.04014971,-0.69564425,-0.50336512,-0.402732772,-0.943808736,-0.336812591,-0.798944538,-0.325586712,-1.055880523,-0.362480892,-0.166072571,-0.651118649,-1.113935576,-0.884926376,-0.546678076,0.041878839,-1.145781477,-1.116600985,-0.337485049,-1.045363328,-0.450315808,-0.033700509,-0.989308892,-0.88862144,-1.262073807,-1.459899716,-0.821142366,-0.64553742,1326596
2011年6月,-0.842638701,0.036354327,-1.062901268,0.042053289,-0.578729116,-0.5261158,-0.34950783,-0.949537407,-0.361312236,-1.038961428,-0.324243084,-1.055880523,-0.403666128,0.06079214,-0.651118649,-1.141697908,-0.871063948,-0.597626848,0.106101948,-1.303228161,-1.285655046,-0.304877857,-0.92909472,-0.48319888,-0.0437905,-0.632045128,-0.88412736,-1.240432192,-1.40684456,-0.800159052,-0.53996382,1198729
2011年7月,-0.635550436,-0.137736707,-1.013964952,0.003029877,-0.357889679,-0.4925887,0.005322664,-0.938080065,-0.355595575,-0.865616026,-0.292955564,-0.667964408,-0.383073324,-0.063007759,-0.651118649,-1.108887949,-0.676980544,-0.475349924,-0.0384001,-0.988334793,-0.896831423,-0.179883184,-1.024223976,-0.373588032,-0.044799522,-0.304064904,-0.8751392,-0.775134883,-0.646388061,-0.765186609,-0.48717702,1460426
2011年8月,-0.648051524,-0.26745156,-1.1293139,-0.096590872,-0.176021797,-0.4866018,-0.101126654,-0.909435969,-0.325379732,-0.532259364,-0.257636841,-0.606714649,-0.2859936,-0.213640993,-0.817301927,-0.864076122,-0.573007628,-0.424401796,-0.01431646,-0.730695411,-0.660155897,-0.076627076,-1.0083691,-0.322436992,-0.017556617,-0.309921612,-0.87064512,-0.515434025,-0.062782082,-0.793164867,-0.342013815,1570934
2011年9月,-0.6828379,-0.13432318,-0.856670672,-0.080410449,-0.474804813,-0.56084028,-0.278542184,-0.943808736,-0.334770761,-0.89228431,-0.241897062,-0.586297819,-0.327178836,-0.188027369,-0.474328642,-0.78583752,-0.621527936,-0.516108684,0.049906649,-0.802261827,-1.032074353,-0.2505321,-1.024223976,-0.380895584,-0.001412491,-0.304064904,-0.90210368,-0.764313706,-0.292687758,-0.814147422,-0.447587415,1246208
2011年10月,-0.776870443,-0.144563761,-0.592183592,-0.000142768,-0.435833258,-0.44828472,-0.402732772,-0.920894052,-0.314763142,-0.612264994,-0.264354981,-0.647547578,-0.2859936,-0.266697961,-0.481400174,-0.934743667,-0.656185816,-0.434591164,0.065962479,-0.702068418,-0.879925459,-0.228793972,-0.786400836,-0.366281088,-0.128546753,-0.35091914,-0.84368128,-0.82923929,-0.628703009,-0.688248297,-0.407997315,1466448
2011年11月,-0.536626502,-0.260624506,-0.406925948,0.031583564,-0.344899317,-0.26747804,-0.50918209,-0.955266078,-0.238814937,-0.465587876,-0.202355736,-0.382131712,-0.206564532,-0.281334493,-0.27632347,-0.891838454,-0.656185816,-0.373453024,0.017795199,-0.301295493,-0.440385538,-0.212490376,-0.485158916,-0.28955392,-0.058925604,-0.239639972,-0.8616576,-0.482971233,0.078698334,-0.576338301,-0.381603915,1460938
