d1,Zx101,Zx102,Zx103,Zx104,Zx105,Zx106,Zx107,Zx108,Zx109,Zx110,Zx111,Zx112,Zx113,Zx114,Zx115,Zx116,Zx117,Zx118,Zx119,Zx120,Zx121,Zx122,Zx123,Zx124,Zx125,Zx126,Zx127,Zx128,Zx129,Zx130,Zx131,y3
2011年1月,-1.721294,-0.981406,-1.296017,3.211614,-1.594043,-2.757611,-0.742887,-1.420586,-0.838577,-2.380915,-1.374459,-2.701272,-0.792524,-1.05148,-1.18782,-1.603692,-1.078665,-1.3552,-0.973095,-1.752426,-1.846442,-0.946381,-1.560667,-0.860837,-0.773718,-1.176648,-1.4938,-1.414961,-1.740909,-1.210888,-1.570715,1220453
2011年2月,-1.563369,0.110189,-1.312313,3.19604,-1.040075,-1.916831,0.072095,-1.351007,-0.720402,-2.158106,-1.239674,-1.891309,-1.077216,-0.880642,-1.144321,-1.52801,-1.241422,-1.244442,-0.471434,-2.316101,-1.97371,-0.734969,-1.524168,-0.674548,-1.005319,-0.644212,-1.444647,-1.400319,-1.956872,-1.201672,-1.410756,1204252
2011年3月,-1.469841,0.439727,-1.173799,2.347293,-0.95698,-1.65913,-0.398087,-1.335545,-0.804183,-2.226662,-1.175892,-1.360644,-1.093032,-0.546913,-1.007612,-1.491814,-1.279718,-1.260265,-0.394255,-1.510851,-1.591907,-0.722533,-1.363576,-0.716613,-0.632185,-1.248322,-1.500822,-1.268536,-1.956872,-1.137165,-1.517395,1254043
2011年4月,-1.376312,0.655987,-1.446752,-0.183376,-0.486107,-0.958914,-1.024996,-1.312351,-0.750387,-1.129756,-1.101278,-1.025487,-0.93487,-0.68398,-1.094609,-1.449038,-1.193553,-0.896347,-0.04695,-1.470588,-1.464639,-0.759841,-1.531468,-0.704594,-0.044605,-1.197126,-1.437625,-1.707813,-1.404965,-1.192457,-1.170816,1270672
2011年5月,-1.425376,-0.023686,-1.707483,-0.985404,-1.48325,-1.094272,-0.711542,-1.273696,-0.727457,-1.026921,-1.020648,-1.444433,-0.974411,-0.540953,-1.144321,-1.452328,-1.222274,-0.848879,-0.201308,-1.611507,-1.401005,-0.772277,-1.443872,-0.740651,-0.143249,-1.729561,-1.388471,-1.707813,-1.980868,-1.081874,-1.304116,1326596
2011年6月,-1.188489,-0.219349,-1.858219,-1.032124,-1.233964,-1.14373,-0.617505,-1.281427,-0.780372,-1.335426,-1.016436,-1.444433,-1.085124,0.19802,-1.144321,-1.488524,-1.203127,-0.927992,-0.510023,-1.832951,-1.613118,-0.697661,-1.28328,-0.794735,-0.186138,-1.104974,-1.381449,-1.678528,-1.90888,-1.054228,-1.090836,1198729
2011年7月,-0.896404,0.831054,-1.772666,-0.074363,-0.763091,-1.070845,0.009404,-1.265965,-0.768025,-1.112617,-0.918356,-0.913768,-1.029767,-0.205237,-1.144321,-1.445747,-0.935056,-0.738121,0.184586,-1.390063,-1.125259,-0.411632,-1.414674,-0.614454,-0.190427,-0.531582,-1.367405,-1.048897,-0.877053,-1.008151,-0.984196,1460426
2011年8月,-0.914036,1.613707,-1.974325,2.370653,-0.375313,-1.05783,-0.178669,-1.227309,-0.702764,-0.684138,-0.807639,-0.829979,-0.7688,-0.695899,-1.436383,-1.126566,-0.791447,-0.659009,0.068818,-1.027701,-0.828301,-0.175348,-1.392775,-0.530324,-0.074627,-0.541821,-1.360383,-0.697475,-0.085186,-1.045013,-0.690937,1570934
2011年9月,-0.9631,0.810458,-1.497676,1.973533,-1.012377,-1.219218,-0.492124,-1.273696,-0.723047,-1.146895,-0.758298,-0.802049,-0.879513,-0.612467,-0.833618,-1.02456,-0.858464,-0.801411,-0.239897,-1.128357,-1.294949,-0.5733,-1.414674,-0.626473,-0.006004,-0.531582,-1.409537,-1.034254,-0.397134,-1.072658,-0.904217,1246208
2011年10月,-1.095727,0.872246,-1.035286,0.003504,-0.929282,-0.974532,-0.711542,-1.242772,-0.679834,-0.786973,-0.828699,-0.885838,-0.7688,-0.868723,-0.846046,-1.218701,-0.906334,-0.674831,-0.317076,-0.987438,-1.104047,-0.523556,-1.086189,-0.602436,-0.546407,-0.613495,-1.318252,-1.12211,-0.853057,-0.906783,-0.824237,1466448
